internal_name,parameter,description
DG0121JC,Fault_Data_J1939_121,[DG0121JC] ONE ENGINE SPEED AND OR POSIION SIGNAL LOST. INTERMITTENT. SPN 190. YELLOW.
DG0122FU,Fault_Data_122,[DG0122FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0122JC,Fault_Data_J1939_122,"[DG0122JC] BOOST PRESS, LEFT BANK SHORTED HIGH. SPN 102. YELLOW."
DG0123FU,Fault_Data_123,[DG0123FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0123JC,Fault_Data_J1939_123,"[DG0123JC] BOOST PRESS, LEFT BANK SHORTED LOW. SPN 102. YELLOW"
DG0125FU,Fault_Data_125,[DG0125FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0125JC,Fault_Data_J1939_125,"[DG0125JC] BOOST PRESS, LEFT BANK DATA BELOW NORMAL RANG. SPN 102. YELLOW"
DG0131FU,Fault_Data_131,[DG0131FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0131JC,Fault_Data_J1939_131,[DG0131JC] ACCELERATOR PEDAL POSITIONS SHORTED HIGH. SPN 91. Red.
DG0132FU,Fault_Data_132,[DG0132FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0132JC,Fault_Data_J1939_132,[DG0132JC] ACCELERATOR PEDAL POSITIONS SHORTED LOW. SPN 91. Red.
DG0133FU,Fault_Data_133,[DG0133FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0133JC,Fault_Data_J1939_133,[DG0133JC] REMOTE THROTTLE SHORTED HIGH. SPN 91. RED.
DG0134FU,Fault_Data_134,[DG0134FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0134JC,Fault_Data_J1939_134,[DG0134JC] REMOTE THROTTLE SHORTED LOW. SPN 91. RED.
DG0135FU,Fault_Data_135,[DG0135FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0135JC,Fault_Data_J1939_135,[DG0135JC] OIL PRESSURE SHORTED HIGH. SPN 100. Yellow.
DG0141FU,Fault_Data_141,[DG0141FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0141JC,Fault_Data_J1939_141,[DG0141JC] OIL PRESSURE SHORTED LOW. SPN 100. Yellow.
DG0143FU,Fault_Data_143,[DG0143FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0143JC,Fault_Data_J1939_143,[DG0143JC] OIL PRESSURE DATA BELOW NORMAL RANGE. SPN 100. ENGINE PROTECTION.
DG0144FU,Fault_Data_144,[DG0144FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0144JC,Fault_Data_J1939_144,[DG0144JC] ENGINE COOLANT TEMPERATURE SHORTED HIGH. SPN 110. YELLOW.
DG0145FU,Fault_Data_145,[DG0145FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0145JC,Fault_Data_J1939_145,[DG0145JC] ENGINE COOLANT TEMPERATURE SHORTED LOW. SPN 110. YELLOW.
DG0147FU,Fault_Data_147,[DG0147FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0147JC,Fault_Data_J1939_147,[DG0147JC] Frequency Throttle Signal Low OOR. SPN 091. RED
DG0148FU,Fault_Data_148,[DG0148FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0148JC,Fault_Data_J1939_148,[DG0148JC] Frequency Throttle Signal High OOR. SPN 091. RED
DG0151FU,Fault_Data_151,[DG0151FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0151JC,Fault_Data_J1939_151,[DG0151JC] ENGINE COOLANT TEMPERATURE DATA ABOVE NORMAL RANGE. SPN 110. ENGINE PROTECTION.
DG0152FU,Fault_Data_152,[DG0152FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0152JC,Fault_Data_J1939_152,[DG0152JC] ENGINE COOLANT TEMPERATURE DATA BELOW NORMAL RANGE. SPN 110. ENGINE PROTECTION.
DG0153FU,Fault_Data_153,[DG0153FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0153JC,Fault_Data_J1939_153,"[DG0153JC] INTAKE MANIFOLD TEMP, LBF SHORTED HIGH. SPN 105. YELLOW."
DG0154FU,Fault_Data_154,[DG0154FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0154JC,Fault_Data_J1939_154,"[DG0154JC] INTAKE MANIFOLD TEMP, LBF SHORTED LOW. SPN 105. YELLOW."
DG0155FU,Fault_Data_155,[DG0155FU] Generic Cummins Fault Table Calibration 1st WORD = FC
DG0155JC,Fault_Data_J1939_155,"[DG0155JC] INTAKE MANIFOLD TEMP, LBF DATA ABOVE NORMAL RANGE. SPN 105. ENGINE PROTECTION."
DG0184JC,Fault_Data_J1939_184,[DG0184JC] Module ID Input State Error for Master/Slave. SPN 609. RED.
DG0185JC,Fault_Data_J1939_185,[DG0185JC] Engine Controller Communication Lost Error for Master/Slave. SPN 639. YELLOW.
DG01CUDN,Fault_Countdown_Count_Down_Rate_Mode_1,"[DG01CUDN] Time that must elapse before the fault count is decremented, once countdown has"
DG01ELTM,Fault_Countdown_Elapsed_Time_Mode_1,[DG01ELTM] Elapsed time before starting countdown for a mode 1 fault
DG0211JC,Fault_Data_J1939_211,[DG0211JC] no comment for Fault_Data_J1939_211
DG0212JC,Fault_Data_J1939_212,[DG0212JC] OIL TEMPERATURE SHORTED HIGH. SPN 175. YELLOW.
DG0213JC,Fault_Data_J1939_213,[DG0213JC] OIL TEMPERATURE SHORTED LOW. SPN 175. YELLOW.
DG0214JC,Fault_Data_J1939_214,[DG0214JC] OIL TEMPERATURE DATA ABOVE NORMAL RANGE . SPN 175. ENGINE PROTECTION.
DG0216JC,Fault_Data_J1939_216,[DG0216JC] no comment for Fault_Data_J1939_216
DG0217JC,Fault_Data_J1939_217,[DG0217JC] no comment for Fault_Data_J1939_217
DG0218JC,Fault_Data_J1939_218,[DG0218JC] no comment for Fault_Data_J1939_218
DG0221JC,Fault_Data_J1939_221,[DG0221JC] AMBIENT AIR PRESSURE SHORTED HIGH. SPN 108. Yellow.
DG0222JC,Fault_Data_J1939_222,[DG0222JC] AMBIENT AIR PRESSURE SHORTED LOW. SPN 108. Yellow.
DG0223JC,Fault_Data_J1939_223,[DG0223JC] CORS makeup valve solenoid shorted high
DG0224JC,Fault_Data_J1939_224,[DG0224JC] CORS makeup valve solenoid shorted high
DG0225JC,Fault_Data_J1939_225,[DG0225JC] CORS makeup valve solenoid shorted high
DG0226JC,Fault_Data_J1939_226,[DG0226JC] CORS makeup valve solenoid shorted high
DG0231JC,Fault_Data_J1939_231,[DG0231JC] ENGINE COOLANT PRESSURE SHORTED HIGH. SPN 109. YELLOW.
DG0232JC,Fault_Data_J1939_232,[DG0232JC] ENGINE COOLANT PRESSURE SHORTED LOW. SPN 109. YELLOW.
DG0234JC,Fault_Data_J1939_234,[DG0234JC] ENGINE SPEED DATA ABOVE NORMAL RANGE. SPN 190. Red.
DG0235JC,Fault_Data_J1939_235,[DG0235JC] ENGINE COOLANT LEVEL DATA BELOW NORMAL RANGE. SPN 111. ENGINE PROTECTION.
DG0241JC,Fault_Data_J1939_241,[DG0241JC] VEHICLE SPEED SIGNAL LOST. SPN 084. Yellow
DG0242JC,Fault_Data_J1939_242,[DG0242JC] VEHICLE SPEED SIGNAL INTERMITTENT TAMPERING. SPN 084. Yellow
DG0243JC,Fault_Data_J1939_243,[DG0243JC] ENGINE BRAKE CIRCUIT FAILURE. SPN 121. Yellow
DG0244JC,Fault_Data_J1939_244,[DG0244JC] no comment for Fault_Data_J1939_244
DG0246JC,Fault_Data_J1939_246,[DG0246JC] no comment for Fault_Data_J1939_246
DG0247JC,Fault_Data_J1939_247,[DG0247JC] no comment for Fault_Data_J1939_247
DG0248JC,Fault_Data_J1939_248,[DG0248JC] no comment for Fault_Data_J1939_248
DG0249JC,Fault_Data_J1939_249,[DG0249JC] Ambient Air Temperature High. S171.
DG0254JC,Fault_Data_J1939_254,[DG0254JC] FUEL SHUTOFF VALVE SHORTED LOW. SPN 632. RED.
DG0256JC,Fault_Data_J1939_256,[DG0256JC] Ambient Air Temperature Low. S171.
DG0263JC,Fault_Data_J1939_263,[DG0263JC] FUEL TEMP SENSOR - COMPONENT SHORTED HIGH. SPN 174. YELLOW.
DG0265JC,Fault_Data_J1939_265,[DG0265JC] Fuel Temperature - Component Shorted Low. SPN 174. Yellow.
DG0269JC,Fault_Data_J1939_269,[DG0269JC] ANTI_THEFT START ATTEMPT WHILE LOCKED. SPN 1195.
DG0285JC,Fault_Data_J1939_285,[DG0285JC] J1939 Mux PGN Timeout Error
DG0286JC,Fault_Data_J1939_286,[DG0286JC] J1939 Mux Configuration Error
DG0287JC,Fault_Data_J1939_287,[DG0287JC] J1939 Mux APS System Error
DG0288JC,Fault_Data_J1939_288,[DG0288JC] J1939 Mux Remote Throttle Data Error
DG02CUDN,Fault_Countdown_Count_Down_Rate_Mode_2,"[DG02CUDN] Time that must elapse before the fault count is decremented, once countdown has"
DG02ELTM,Fault_Countdown_Elapsed_Time_Mode_2,[DG02ELTM] Elapsed time before starting countdown for a mode 2 fault
DG0312JC,Fault_Data_J1939_312,[DG0312JC] CYL 5 CIRCUIT - CURRENT ABOVE NORMAL. SPN 738. Yellow.
DG0315JC,Fault_Data_J1939_315,[DG0315JC] CYL 2 CIRCUIT - CURRENT ABOVE NORMAL. SPN 735. Yellow.
DG0319JC,Fault_Data_J1939_319,[DG0319JC] no comment for Fault_Data_J1939_319
DG0331JC,Fault_Data_J1939_331,[DG0331JC] CYL 2 CIRCUIT - LOW CURRENT OR OPEN CIRCUIT. SPN 735. Yellow.
DG0332JC,Fault_Data_J1939_332,[DG0332JC] CYL 4 CIRCUIT - LOW CURRENT OR OPEN CIRCUIT. SPN 737. Yellow.
DG0333JC,Fault_Data_J1939_333,[DG0333JC] NO VOLTAGE ON ONE OR MORE OF INJECTOR SUPPLY. SPN 629. Yellow.
DG0334JC,Fault_Data_J1939_334,[DG0334JC] ENGINE COOLANT TEMPERATURE IN RANGE FAILURE. SPN 110. Yellow.
DG0341JC,Fault_Data_J1939_341,[DG0341JC] no comment for Fault_Data_J1939_341
DG0343JC,Fault_Data_J1939_343,"[DG0343JC] ECM HARDWARE FAILURE, WARNING NON MISSION DISABLING. SPN 629. YELLOW."
DG0345JC,Fault_Data_J1939_345,[DG0345JC] FUEL FILTER RESTRICTION SWITCH INVALID. SPN 095. YELLOW.
DG0346JC,Fault_Data_J1939_346,[DG0346JC] ECM SOFTWARE - READ/WRITE CHECKSUM NONMISSION DISABLING. SPN 630. YELLOW.
DG0351JC,Fault_Data_J1939_351,[DG0351JC] INJECTOR POWER SUPPLY BAD DEVICE.. SPN 629. YELLOW.
DG0352JC,Fault_Data_J1939_352,[DG0352JC] SENSOR SUPPLY VOLTAGE BELOW NORMAL. SPN 620. YELLOW.
DG03CUDN,Fault_Countdown_Count_Down_Rate_Mode_3,"[DG03CUDN] Time that must elapse before the fault count is decremented, once countdown has"
DG03ELTM,Fault_Countdown_Elapsed_Time_Mode_3,[DG03ELTM] Elapsed time before starting countdown for a mode 3 fault
DG0411JC,Fault_Data_J1939_411,[DG0411JC] no comment for Fault_Data_J1939_411
DG0412JC,Fault_Data_J1939_412,[DG0412JC] J1587 DATA LINK CANNOT TRANSMIT. SPN 608. YELLOW.
DG0413JC,Fault_Data_J1939_413,[DG0413JC] no comment for Fault_Data_J1939_413
DG0414JC,Fault_Data_J1939_414,[DG0414JC] J1587 DATA LINK NOT FAST ENOUGH. SPN 608. YELLOW.
DG0415JC,Fault_Data_J1939_415,[DG0415JC] Very Low Oil Pressure Fault. SPN 100. Engine Protection.
DG0421JC,Fault_Data_J1939_421,[DG0421JC] OIL TEMPERATURE ABOVE NORMAL ENGINE RANG. SPN 175. YELLOW.
DG0422JC,Fault_Data_J1939_422,[DG0422JC] ENGINE COOLANT LEVEL SIGNAL DATA INVALID. SPN 111. YELLOW.
DG0425JC,Fault_Data_J1939_425,[DG0425JC] OIL TEMPERATURE IN RANGE FAILURE. SPN 175. YELLOW.
DG0426JC,Fault_Data_J1939_426,[DG0426JC] DATALINK (J1939) CANNOT TRANSMIT. SPN 639. YELLOW.
DG0427JC,Fault_Data_J1939_427,[DG0427JC] DATALINK (J1939) NOT FAST ENOUGH. SPN 639. YELLOW.
DG0431JC,Fault_Data_J1939_431,[DG0431JC] ACCELERATOR PEDAL IDLE VALIDATION INVALID. SPN 91. YELLOW.
DG0432JC,Fault_Data_J1939_432,[DG0432JC] ACCELERATOR PEDAL IDLE VALIDATION - SWITCH DOES NOT AGREE WITH POT. SPN 91. Red
DG0433JC,Fault_Data_J1939_433,"[DG0433JC] BOOST PRESS, LEFT BANK FRONT IN RANGE FAILURE. SPN 102. YELLOW."
DG0434JC,Fault_Data_J1939_434,[DG0434JC] Power Off Without Ignition Off. SPN 627. YELLOW.
DG0435JC,Fault_Data_J1939_435,[DG0435JC] OIL PRESSURE IN RANGE FAILURE. SPN 100. YELLOW.
DG0441JC,Fault_Data_J1939_441,[DG0441JC] BATTERY VOLTAGE DATA BELOW NORMAL RANGE. SPN 168. YELLOW.
DG0442JC,Fault_Data_J1939_442,[DG0442JC] BATTERY VOLTAGE DATA ABOVE NORMAL ENGINE RANGE. SPN 168. YELLOW.
DG0443JC,Fault_Data_J1939_443,[DG0443JC] ACCELERATOR PEDAL SENSOR SUPPLY VOLTAGE DATA BELOW NORMAL. SPN 629. YELLOW.
DG0444JC,Fault_Data_J1939_444,[DG0444JC] OEM SENSOR SUPPLLY VOLTAGE DATA BELOW NORMAL RANGE. SPN 629. YELLOW.
DG0445JC,Fault_Data_J1939_445,[DG0445JC] OEM SWITCH SUPPLY SHORTED HIGH. SPN 629. YELLOW.
DG0451JC,Fault_Data_J1939_451,[DG0451JC] Fuel pressure component shorted high. SPN 157. RED.
DG0452JC,Fault_Data_J1939_452,[DG0452JC] Fuel pressure component shorted low. SPN 157. RED.
DG0453JC,Fault_Data_J1939_453,[DG0453JC] GAS MASS SENSOR SHORTED HIGH. SPN 183. YELLOW.
DG0454JC,Fault_Data_J1939_454,[DG0454JC] GAS MASS SENSOR SHORTED LOW. SPN 183. YELLOW.
DG0455JC,Fault_Data_J1939_455,[DG0455JC] Fuel control valve -- component shorted high or open. SPN 633. RED.
DG0511JC,Fault_Data_J1939_511,[DG0511JC] Fuel control valve component shorted low. SPN 633.
DG0512JC,Fault_Data_J1939_512,[DG0512JC] THROTTLE PLATE POSITION SENSOR SHORTED HIGH. SPN 051. YELLOW.
DG0513JC,Fault_Data_J1939_513,[DG0513JC] THROTTLE PLATE POSITION SENSOR SHORTED LOW. SPN 051. YELLOW.
DG0514JC,Fault_Data_J1939_514,[DG0514JC] Fuel control valve mechanically stuck open. SPN 633. RED.
DG0515JC,Fault_Data_J1939_515,[DG0515JC] no comment for Fault_Data_J1939_515
DG0521JC,Fault_Data_J1939_521,[DG0521JC] AUX (TRANSMISSION) TEMPERATURE SHORTED HIGH. SPN 177. YELLOW.
DG0522JC,Fault_Data_J1939_522,[DG0522JC] AUX (TRANSMISSION) TEMPERATURE SHORTED LOW. SPN 177. YELLOW.
DG0523JC,Fault_Data_J1939_523,[DG0523JC] OEM - INTERMEDIATE (PTO) SPEED SWITCH VALIDATION FAULT. SPN 089. YELLOW.
DG0524JC,Fault_Data_J1939_524,[DG0524JC] OEM - Alternate droop switch validation fault. SPN 113. YELLOW.
DG0525JC,Fault_Data_J1939_525,[DG0525JC] no comment for Fault_Data_J1939_525
DG0528JC,Fault_Data_J1939_528,[DG0528JC] OEM Torque Curve Switch Validation Fault. SPN 93. Yellow.
DG0531JC,Fault_Data_J1939_531,[DG0531JC] no comment for Fault_Data_J1939_531
DG0532JC,Fault_Data_J1939_532,[DG0532JC] no comment for Fault_Data_J1939_532
DG0533JC,Fault_Data_J1939_533,[DG0533JC] no comment for Fault_Data_J1939_533
DG0534JC,Fault_Data_J1939_534,[DG0534JC] no comment for Fault_Data_J1939_534
DG0535JC,Fault_Data_J1939_535,[DG0535JC] no comment for Fault_Data_J1939_535
DG0541JC,Fault_Data_J1939_541,[DG0541JC] no comment for Fault_Data_J1939_541
DG0542JC,Fault_Data_J1939_542,[DG0542JC] no comment for Fault_Data_J1939_542
DG0543JC,Fault_Data_J1939_543,[DG0543JC] no comment for Fault_Data_J1939_543
DG0544JC,Fault_Data_J1939_544,[DG0544JC] no comment for Fault_Data_J1939_544
DG0545JC,Fault_Data_J1939_545,[DG0545JC] WASTEGATE CONTROL VALVE MECH. STUCK OPEN. SPN 646. RED.
DG0551JC,Fault_Data_J1939_551,[DG0551JC] ACCELERATOR PEDAL IDLE VALIDATION BOTH SHORTED LOW. SPN 91 RED.
DG0553JC,Fault_Data_J1939_553,[DG0553JC] Engine fueling pressure exceeded - data above normal range. SPN 157. RED
DG0554JC,Fault_Data_J1939_554,[DG0554JC] Fuel rail pressure in range error. SPN 157. YELLOW.
DG0555JC,Fault_Data_J1939_555,[DG0555JC] ENGINE BLOWBY DATA ABOVE NORMAL ENGINE RANGE. SPN 101. ENGINE PROTECTION.
DG0753JC,Fault_Data_J1939_753,[DG0753JC] CAM SHAFT GEAR OUT OF SYNCH. SPN 190. YELLOW.
DG0912JC,Fault_Data_J1939_912,[DG0912JC] no comment for Fault_Data_J1939_912
DG0950JC,Fault_Data_J1939_950,"[DG0950JC] Sensor High Error or Sensor Low Error for Channel 2,3,7-9,14-24."
DG0984JC,Fault_Data_J1939_984,[DG0984JC] Battery voltage exceeds high threshold.
DG0985JC,Fault_Data_J1939_985,[DG0985JC] Battery voltage is less than low threshold.
DG0986JC,Fault_Data_J1939_986,[DG0986JC] Battery voltage is less than very low threshold (near ECM operating limit).
DGBSDCTR,BIR_Boost_Decay_Time_Threshold,[DGBSDCTR] Time required that low boost cond. exist before BIRH error check
DGBSHTTD,BIR_Boost_High_Time_Threshold,[DGBSHTTD] Time needed for out of range high boost for setting BIRH error
DGBSIREN,Boost_In_Range_Enable,[DGBSIREN] Enable flag for boost pressure in-range diagnostic algorithm
DGBSIRHE,Boost_In_Range_High_Error,[DGBSIRHE] Boost Sensor stuck high but passes normal diagnostics
DGDCMNTM,Drive_Cycle_Minimum_Run_Time,[DGDCMNTM] minimum engine run time needed to set drive cycle flag
DGDRCY,Drive_Cycle,[DGDRCY] Indicates whether a drive cycle has occurred
DGFUCATB,Fault_Code_Assignment_Table,[DGFUCATB] FAULT CODE ASSIGNMENT TABLE
DGFUIDEN,Log_Fault_Indicator,[DGFUIDEN] bit mapped parameter used to disable/enable the processing of a particular faul
DGFUOCDC,Fault_Occurred_This_Drive_Cycle,[DGFUOCDC] bit-mapped parameter indicating which faults have occurred this drive cycle
DGFUSIPI,OBD_Snapshot_Ptr_Table,[DGFUSIPI] Maintains a pointer to every OBD snapshot that is stored in the Snapshot_Table
DGFUSITB,Fault_Snapshot_Table,[DGFUSITB] SNAPSHOT_TABLE.H
DGJCFUCC,DL_to_Fault_Handler_Command,[DGJCFUCC] 00=NO_CLEAR_ACTION 01=CLEAR_INACTIVE 02=CLEAR_ACTIVE 03=CLEAR_ALL_FAULTS
DGJCOBTB,Fault_Table_J2012,[DGJCOBTB] Table refering to all the Fault_Code_J2012 parameters.
DGJCTB,Fault_Table_J1939,[DGJCTB] Table refering to all the Fault_Data_J1939_NNN parameters.
DGLSRSOF,BIR_LSG_Ref_Speed_Offset,[DGLSRSOF] Offset added to LSG Ref Spd resulting in RPM limit for BIRH test
DGLWTD,BIR_Low_Load_Threshold,[DGLWTD] Limit that load must be below for BIR high error check
DGMIFUIN,MIL_Fault_Indicator,[DGMIFUIN] Indicates whether MIL is to be turned on for a part. fault (64 bytes total)
DGNCMNST,NC_Monitor_Status,[DGNCMNST] a bit for up to 16 non-cont. monitors to set when mon. has run
DGNODC,Number_Of_Drive_Cycles,[DGNODC] Universal counter of drive cycles
DGNOOBSN,Number_Of_OBD_Snapshots,[DGNOOBSN] Number of Snapshots that are OBDII in Fault_Snapshot_Table
DGNOS2,Number_Of_Starts_2,[DGNOS2] Number of engine starts since 2nd most recent fault logged
DGNOS3,Number_Of_Starts_3,[DGNOS3] Number of engine starts since 3rd most recent fault logged
DGNOS4,Number_Of_Starts_4,[DGNOS4] Number of eng. starts since 4th most recent fault logged
DGNOS5,Number_Of_Starts_5,[DGNOS5] Number of eng. starts since 5th most recent fault logged
DGNOS6,Number_Of_Starts_6,[DGNOS6] Number of eng. starts since 6th most recent fault logged
DGNOS7,Number_Of_Starts_7,[DGNOS7] Number of eng. starts since 7th most recent fault logged
DGNOS8,Number_Of_Starts_8,[DGNOS8] Number of eng. starts since 8th most recent fault logged
DGNOSA,Number_Of_Starts,[DGNOSA] Number of eng. starts since 8th most recent fault logged
DGNOST,Number_Of_Starts_1,[DGNOST] Number of engine starts since most recent fault logged or since faults cleared
DGNOWC,Number_Of_Warm_Up_Cycles,[DGNOWC] Universal count of Warm up cycles
DGOBFUHN,OBD_Fault_Handler_Enable,[DGOBFUHN] Indicates whether OBDII Fault Handler is enabled
DGOBNCMT,NC_Fault_Codes,[DGOBNCMT] Table which indicates whether monitor has run for ass. non cont. flts
DGPDRDCD,Pending_Readiness_Code,[DGPDRDCD] Indicates Pending status for Readiness_Code.
DGPVMNST,Previous_NC_Monitor_Status,[DGPVMNST] flags indicating previous state of NC_Monitor_Status
DGRDCD,Readiness_Code,[DGRDCD] All non continuous monitors have run if value = 0000
DGROJCTB,Recent_J2012_Codes_Table,[DGROJCTB] Contains the J2012 codes for the eight most recent faults.
DGRPOSFG,ES_Calc_Overspeed_Error_Flag,[DGRPOSFG] Fault log recording flag for engine speed overspeed error
DGRPOSIN,ES_Calc_Overspeed_Error_Log_Index,[DGRPOSIN] Fault log index into engine speed overspeed error log
DGRPOSLF,ES_Calc_Overspeed_Error_Log,[DGRPOSLF] Fault log for engine speed overspeed conditions
DGSTBSTD,BIR_Stabilized_Boost_Threshold,[DGSTBSTD] Boost Threshold for BIR High Error
DGWUCYFL,Warm_Up_Cycle_Flag,[DGWUCYFL] Indicates whether warm up cycle has occurred
DGWUTM,Warm_Up_Temp,[DGWUTM] Coolant Temperature at which the engine is considered warmed-up
DGWUTMMX,Warm_Up_Temp_Max,[DGWUTMMX] Temperature engine must reach for warm up cycle
DIAGNOSE,Group_DIAGNOSE,[DIAGNOSE] DIAGNOSTIC TABLE DATA STRUCTURES
DIG_SIG,Group_DIG_SIG,[DIG_SIG] DIGITAL SIGNAL CONDITIONING DATA
DM13BDT0,DM13_Stop_Broadcast_Timer_0,[DM13BDT0] Time period since last DM13 from source #0 responded by ECM
DM13BDT1,DM13_Stop_Broadcast_Timer_1,[DM13BDT1] Time period since last DM13 from source #1 responded by ECM
DM13BDT2,DM13_Stop_Broadcast_Timer_2,[DM13BDT2] Time period since last DM13 from source #2 responded by ECM
DM13BRD,DM13_Broadcast_Flags,[DM13BRD] Broadcast enable flags requested by DM 13
DM13BRD0,DM13_Broadcast_Flags_0,[DM13BRD0] Broadcast enable flags requested by source #0
DM13BRD1,DM13_Broadcast_Flags_1,[DM13BRD1] Broadcast enable flags requested by source #1
DM13BRD2,DM13_Broadcast_Flags_2,[DM13BRD2] Broadcast enable flags requested by source #2
DM13EN,DM13_Enable,[DM13EN] Algorithm enable flag for DM13
DM13FLTF,DM13_Fault_Log_Inhibit_Flag,[DM13FLTF] Flag used to inhibit logging fault when DM 13 is active in the network
DM13HLDT,DM13_Hold_Timer,[DM13HLDT] Time period since the last DM13 has been received
DM13TMRT,DM13_Timer_Time,[DM13TMRT] Max time period one DM13 message can stop broadcast
DONTKNOW,Group_DONTKNOW,[DONTKNOW] UNKNOWN SOFTWARE VALUES
DOUB_PUL,Group_DOUB_PUL,[DOUB_PUL] DOUBLE PULSE CALIBRATIONS
DPAGEN,Double_Pulse_Enable,"[DPAGEN] Bit 9 of 0-15. Enable/disable the double pulsing feature, 0 for disable, 1 for"
DRDRRVCU,Auxiliary_Driver_Recover_Count,[DRDRRVCU] Enhanced Diag: number good samples before recovery of aux driver error
DREN,DR_Enable,"[DREN] Word 12h, bit 2 of 0 to 15 Driver Reward Enable"
DREZDCMN,Tool_DR_ESP_Reward_Lower_Limit,[DREZDCMN] Driver Minimum ESP_Delta reward
DREZDCMX,Tool_DR_ESP_Reward_Upper_Limit,[DREZDCMX] Driver Maximum ESP_Delta reward
DRFETDMX,Tool_DR_MPG_Threshold_Upper_Limit,[DRFETDMX] Maximum MPG allowed to be entered on the tool
DRFSEA,FSO_Command,[DRFSEA] Desired state of the FSO_Command output driver.
DRFSER,FSO_Control_Error,"[DRFSER] True if FSO driver diag. low for Auxiliary_Driver_Error_Counts, word 2 bit 1"
DRHIERMV,CORS_Makeup_Valve_Driver_High_Control_Error,[DRHIERMV] Set true if CORS_Makeup_Valce_Driver is shorted to battery.
DRLOERMV,CORS_Makeup_Valve_Driver_Low_Control_Error,[DRLOERMV] Set true if CORS_Makeup_Valce_Driver is shorted to battery.
DRMVPZ,CORS_Makeup_Valve_Driver_Priority,[DRMVPZ] Current override priority for CORS_Makeup_Valve_Driver.
DRRZDCMN,Tool_DR_RSG_CC_Reward_Lower_Limit,"[DRRZDCMN] Driver Minimum allowed RSG Shift reward, via tool"
DRRZDCMX,Tool_DR_RSG_CC_Reward_Upper_Limit,"[DRRZDCMX] Driver Maximum allowed RSG Shift reward, via tool"
DRTKBAPE,Tachometer_Base_Period,[DRTKBAPE] Base for conversion of RPM to frequency [(Crank Rev / n Pulses)*(60 Sec / Min)]
DRTKODMD,Tachometer_Override_Mode,"[DRTKODMD] Flag to set Tach to Tachometer_Override_RPM(1=override,0=no override)."
DRTKODRP,Tachometer_Override_RPM,[DRTKODRP] RPM value for tach if normal input is overridden.
DRTKPE,Tachometer_Signal_Period,[DRTKPE] Period of the Tachometer Output
DRVRWD07,Group_DR_7,[DRVRWD07] DRIVER REWARD TRIMS AND DATA
DSBRSWSS,Brake_Switch,[DSBRSWSS] Desired state of the Brake_Switch output driver.
DSCHSWSS,Clutch_Switch,"[DSCHSWSS] Debounced value of the clutch switch input. Byte 1, bit 7."
DSEBS1,Engine_Brake_Select_1,[DSEBS1] Desired state of the Engine_Brake_Select_1 output driver.
DSIVSWSS,Idle_Switch,[DSIVSWSS] Desired state of the Idle_Switch output driver.
DSKYSWSS,Keyswitch,[DSKYSWSS] Desired state of the Keyswitch output driver.
DSNISWSS,Not_Idle_Switch,[DSNISWSS] Desired state of the Not_Idle_Switch output driver.
DSPTONSW,PTO_On_Switch,[DSPTONSW] Desired state of the PTO_On_Switch output driver.
DSRXSWSS,Remote_PTO_Switch,[DSRXSWSS] Desired state of the Remote_PTO_Switch output driver.
DSTHILSS,Throttle_Interlock_Switch,[DSTHILSS] Desired state of the Throttle_Interlock_Switch output driver.
EB39CNID,Engine_Brake_Jcomm_Device_Indicator,"[EB39CNID] J1939 device controlling Engine Brakes: 0=NONE,1=TRANS,2=ABS,3=ASR,4=UNKNOWN"
EBAEDYEN,EB_Fuel_to_Brake_Delay_Enable,"[EBAEDYEN] 0 = do not delay on e-brake transition, 1 = delay on e-brake transition"
EBBREN,EB_Service_Brake_Activate_Enable,"[EBBREN] Word 13h, bit 0 of 0-F - Service Brake must be ""tapped"" to engage the EB."
EBCHDBEN,EB_Clutch_Enable,[EBCHDBEN] BIT 6 OF 0-15. CALIBRATION INDICATOR USED TO ENABLE ENGINE BRAKE DEACTIVATION
EBCOAG,E_Brake_Command_Source,"[EBCOAG] eb cmd src. 0=NOT_COMM,1=J_COMM,2=CRUISE,3=SWITCH,4=JC_LIM,5=NOT_SET,6=NO_OVRD"
EBDR1,Engine_Brake_Driver_1,[EBDR1] Desired state of the Engine_Brake_Driver_1 output driver.
EBDR2,Engine_Brake_Driver_2,[EBDR2] Desired state of the Engine_Brake_Driver_2 output driver.
